Month,Week,ManagedObjectid,Usage,MeterType
,,,,
May,1,22723602,2000,Integrated
,,,,
May,1,22723094,1000,Integrated
,,,,
May,1,22723985,0,Integrated
,,,,
May,1,22723614,2000,Integrated
,,,,
May,1,22723581,3000,Integrated
,,,,
May,1,22723942,4000,Integrated
,,,,
May,1,22724248,0,Integrated
,,,,
May,1,71786538,3000,Integrated
,,,,
May,1,22723683,4000,Integrated
,,,,
May,1,22723061,4000,Integrated
,,,,
May,1,22723197,0,Integrated
,,,,
May,1,22723298,2000,Integrated
,,,,
May,1,71786797,1000,Integrated
,,,,
May,1,71786784,2000,Integrated
,,,,
May,1,22723648,0,Integrated
,,,,
May,1,71786588,2000,Integrated
,,,,
May,1,22724137,2000,Integrated
,,,,
May,1,22723058,2000,Integrated
,,,,
May,1,22723445,1000,Integrated
,,,,
May,1,71786678,3000,Integrated
,,,,
May,1,22723332,0,Integrated
,,,,
May,1,71786756,1000,Integrated
,,,,
May,1,71786663,2000,Integrated
,,,,
May,1,22723655,0,Integrated
,,,,
May,1,22723017,5000,Integrated
,,,,
May,1,22723707,1000,Integrated
,,,,
May,1,29531190,3000,Integrated
,,,,
May,1,22723509,1000,Integrated
,,,,
May,1,22723203,6000,Integrated
,,,,
May,1,22723607,1000,Integrated
,,,,
May,1,71786743,7000,Integrated
,,,,
May,1,22723830,2000,Integrated
,,,,
May,1,22723486,2000,Integrated
,,,,
May,1,22722947,4000,Integrated
,,,,
May,1,22723846,1000,Integrated
,,,,
May,1,22723894,1000,Integrated
,,,,
May,1,71786511,2000,Integrated
,,,,
May,1,22724079,1000,Integrated
,,,,
May,1,22724120,0,Integrated
,,,,
May,1,22723008,2000,Integrated
,,,,
May,1,22724176,9000,Integrated
,,,,
May,1,22723889,2000,Integrated
,,,,
May,1,22723708,3000,Integrated
,,,,
May,1,22724134,2000,Integrated
,,,,
May,1,22723289,2000,Integrated
,,,,
May,1,22724040,3000,Integrated
,,,,
May,1,22722986,4000,Integrated
,,,,
May,1,22723342,2000,Integrated
,,,,
May,1,71778965,2000,Integrated
,,,,
May,1,22723350,4000,Integrated
,,,,
May,1,22723224,1000,Integrated
,,,,
May,1,71786698,2000,Integrated
,,,,
May,1,22724150,1000,Integrated
,,,,
May,1,29531130,3000,Integrated
,,,,
May,1,22723869,2000,Integrated
,,,,
May,1,22723301,1000,Integrated
,,,,
May,1,71786529,4000,Integrated
,,,,
May,1,22723968,2000,Integrated
,,,,
May,1,71786539,2000,Integrated
,,,,
May,1,71786711,2000,Integrated
,,,,
May,1,22723596,2000,Integrated
,,,,
May,1,22724023,13000,Integrated
,,,,
May,1,22724188,0,Integrated
,,,,
May,1,22723118,3000,Integrated
,,,,
May,1,71786676,0,Integrated
,,,,
May,1,22723302,2000,Integrated
,,,,
May,1,71786805,3000,Integrated
,,,,
May,1,22723267,5000,Integrated
,,,,
May,1,22724170,3000,Integrated
,,,,
May,1,22723487,1000,Integrated
,,,,
May,1,22724081,1000,Integrated
,,,,
May,1,22723464,3000,Integrated
,,,,
May,1,22723100,3000,Integrated
,,,,
May,1,22723139,2000,Integrated
,,,,
May,1,71786729,1000,Integrated
,,,,
May,1,22722915,1000,Integrated
,,,,
May,1,22723366,19000,Integrated
,,,,
May,1,22723185,1000,Integrated
,,,,
May,1,22723465,1000,Integrated
,,,,
May,1,71786540,2000,Integrated
,,,,
May,1,77759530,2000,Integrated
,,,,
May,1,22723924,1000,Integrated
,,,,
