Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
31004,BABINDA POST OFFICE,QLD,12067.4,12851.8,37.1,90,-17.34,145.92,14
32042,TULLY SUGAR MILL,QLD,11420.0,12270.5,33.0,92,-17.94,145.93,19
31187,TOPAZ ALERT,QLD,11350.0,11916.9,-1.0,13,-17.47,145.73,689
97085,MOUNT READ,TAS,10830.6,10830.6,-1.0,1,-41.84,145.54,1120
32161,CORSIS ALERT,QLD,10553.0,11137.4,-1.0,8,-17.60,145.90,48
60085,YARRAS (MOUNT SEAVIEW),NSW,10506.9,5648.5,100.0,68,-31.39,152.25,155
32152,TUNG OIL TM,QLD,10030.8,9522.7,-1.0,7,-17.55,145.93,9
32009,BINGIL BAY,QLD,9921.3,9226.2,69.7,77,-17.84,146.10,25
31104,MT SOPHIA,QLD,9888.6,9913.0,52.8,37,-17.16,145.88,5
97006,LAKE MARGARET DAM,TAS,9623.7,10687.0,8.1,88,-41.99,145.57,665
32160,CENTRAL MILL ALERT,QLD,9501.0,10616.9,-1.0,8,-17.61,145.98,25
32194,COWLEY BEACH (DEFENCE),QLD,8929.2,8591.1,-1.0,3,-17.69,146.11,4
40607,SPRINGBROOK ROAD,QLD,8549.0,6280.7,100.0,21,-28.20,153.27,697
32167,EURAMO TM,QLD,8402.0,8758.0,-1.0,4,-17.99,145.94,10
32192,CARDWELL RANGE,QLD,8348.4,7556.5,61.5,27,-18.55,146.18,15
97020,LAKE MARGARET POWER STATION,TAS,8296.1,8838.2,16.4,68,-42.00,145.54,320
61413,CAREYS PEAK (BARRINGTON TOPS),NSW,8019.6,6673.2,-1.0,9,-32.05,151.47,1430
60165,MOORAL CREEK (THE DEN),NSW,7859.0,5360.9,-1.0,7,-31.66,152.37,649
60161,COMBOYNE (PUBLIC SCHOOL),NSW,7774.0,5402.5,-1.0,6,-31.61,152.47,617
58070,ROSEBANK (REPENTANCE CREEK),NSW,7697.4,5984.4,90.2,42,-28.64,153.41,75
31062,WHYANBEEL VALLEY,QLD,7623.6,8692.7,14.7,69,-16.39,145.35,6
58204,BOAT HARBOUR (ROUS RIVER),NSW,7575.0,5208.9,-1.0,19,-28.32,153.35,30
97091,QUEENSTOWN (SOUTH QUEENSTOWN),TAS,7472.7,7730.8,-1.0,11,-42.10,145.55,118
58056,TWEED HEADS GOLF CLUB,NSW,7437.9,5034.2,100.0,104,-28.20,153.55,5
58040,MULLUMBIMBY (FAIRVIEW FARM),NSW,7432.1,5344.4,97.8,90,-28.55,153.49,15
68224,ROBERTSON (THE PIE SHOP),NSW,7428.6,4967.7,-1.0,15,-34.59,150.63,735
